Company,CompanyRating,CompanyReviewCount,JobLocation,JobPosted,JobTitle,MaxSalary,MinSalary,SalaryType,WorkModel
Logitech,3.9,259,"Dublin, County Dublin",1 day ago,Software Engineer R&D,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,"Dublin, County Dublin",30+ days ago,Software Developer | ESS | Experienced,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Broadridge Trading & Connectivity Solutions,0,0,"Dublin, County Dublin",27 days ago,Senior .Net Developer (HYBRID),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Spanish Point Technologies,0,0,"DUBLIN 3, County Dublin",30+ days ago,Senior .NET Web Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Spanish Point Technologies,0,0,"DUBLIN 3, County Dublin",30+ days ago,.NET Web Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Enel,0,0,"Dublin, County Dublin",28 days ago,Global Process Automation Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
CDB Aviation,0,0,"Dublin, County Dublin",30+ days ago,Microsoft Business Applications Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8634,"Dublin, County Dublin",11 days ago,Software Engineer II,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,"Cloud Support Engineer - Developer and Mobile Services, Developer and Mobile Services",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Troy Consultancy,0,0,"DUBLIN 1, County Dublin",30+ days ago,Apriso Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8634,"Dublin, County Dublin",30+ days ago,Senior Software Engineer - 1ES,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Skillspark AB,0,0,"Dublin, County Dublin",16 days ago,CRM Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Salesforce,4.2,1246,"Dublin, County Dublin",30+ days ago,Backend Software Development Engineer SMTS,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
SCOR,0,0,"Dublin, County Dublin",30+ days ago,IT Data Engineer (SQL Server),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Troy Consultancy,0,0,"DUBLIN 1, County Dublin",30+ days ago,Lead CamStar/ OpCenter Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Deloitte,3.9,13574,"Dublin, County Dublin",30+ days ago,"Senior Power Platform Developer, Hybrid",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8634,"Dublin, County Dublin",30+ days ago,Security Engineer - Identity,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51369,"Dublin, County Dublin",30+ days ago,Cloud Support Associate 신입사원 - Ireland 아일랜드 근무,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
